x,y,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,ID,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DATE
-116.465,53.57888888888889,M,8.6,E,,E,,,E,3062239,M,,AB,,E,9.4,10,3,,M,,17.6,2010,,3062239.2010.10.3,E,,,0,E,EDSON,-0.5,0,M,2010-10-03 00:00:00
-116.465,53.57888888888889,,7.8,,43,,,,,3062239,M,,AB,,,10.2,10,4,,M,,12.8,2010,,3062239.2010.10.4,,,,0,,EDSON,2.7,0,M,2010-10-04 00:00:00
-116.465,53.57888888888889,,7.5,,32,,,,,3062239,M,,AB,,,10.5,10,5,,M,,17.5,2010,,3062239.2010.10.5,,,,0,,EDSON,-2.5,0,M,2010-10-05 00:00:00
-116.465,53.57888888888889,,10.6,,0,,0,,,3062239,,,AB,,,7.4,10,6,,M,,19.1,2010,,3062239.2010.10.6,,,,0,,EDSON,2.1,0,M,2010-10-06 00:00:00
-116.465,53.57888888888889,,11.3,,37,,,,,3062239,M,,AB,,,6.7,10,7,,M,,22.2,2010,,3062239.2010.10.7,,,,0,,EDSON,0.4,0,M,2010-10-07 00:00:00
-116.465,53.57888888888889,,11.9,,0,,0,,,3062239,,,AB,,,6.1,10,8,,M,,19.9,2010,,3062239.2010.10.8,,,,0,,EDSON,3.8,0,M,2010-10-08 00:00:00
-116.465,53.57888888888889,,10.4,,0,,0,,,3062239,,,AB,,,7.6,10,9,,M,,20.3,2010,,3062239.2010.10.9,,,,0,,EDSON,0.4,0,M,2010-10-09 00:00:00
-116.465,53.57888888888889,M,11.8,E,,E,,,E,3062239,M,,AB,,E,6.2,10,10,,M,,20.4,2010,,3062239.2010.10.10,E,,,0,E,EDSON,3.2,0,M,2010-10-10 00:00:00
-116.465,53.57888888888889,,4.7,,35,,,,,3062239,M,,AB,,,13.3,10,11,,M,,13,2010,,3062239.2010.10.11,,,,0,,EDSON,-3.6,0,M,2010-10-11 00:00:00
-116.465,53.57888888888889,,6.1,,41,,,,,3062239,M,,AB,,,11.9,10,12,,M,,14.5,2010,,3062239.2010.10.12,,,,0,,EDSON,-2.3,0,M,2010-10-12 00:00:00
-116.465,53.57888888888889,,7.7,,0,,0,,,3062239,,,AB,,,10.3,10,13,,M,,17.1,2010,,3062239.2010.10.13,,,,0,,EDSON,-1.8,0,M,2010-10-13 00:00:00
-116.465,53.57888888888889,,9.1,,48,,,,,3062239,M,,AB,,,8.9,10,14,,M,,20.1,2010,,3062239.2010.10.14,,,,0,,EDSON,-2,0,M,2010-10-14 00:00:00
-116.465,53.57888888888889,,3.8,,61,,,,,3062239,M,,AB,,,14.2,10,15,,M,,9.5,2010,,3062239.2010.10.15,,,,0,,EDSON,-1.9,0.3,M,2010-10-15 00:00:00
-116.465,53.57888888888889,,0.5,,0,,0,,,3062239,,,AB,,,17.5,10,16,,M,,8.4,2010,,3062239.2010.10.16,,,,0,,EDSON,-7.4,0,M,2010-10-16 00:00:00
-116.465,53.57888888888889,M,2.2,E,,E,,,E,3062239,M,,AB,,E,15.8,10,17,,M,,12.1,2010,,3062239.2010.10.17,E,,,0,E,EDSON,-7.8,0,M,2010-10-17 00:00:00
-116.465,53.57888888888889,,5.7,,50,,,,,3062239,M,,AB,,,12.3,10,18,,M,,14.9,2010,,3062239.2010.10.18,,,,0,,EDSON,-3.6,0,M,2010-10-18 00:00:00
-116.465,53.57888888888889,,6.6,,0,,0,,,3062239,,,AB,,,11.4,10,19,,M,,12.8,2010,,3062239.2010.10.19,,,,0,,EDSON,0.4,0.5,M,2010-10-19 00:00:00
-116.465,53.57888888888889,,4.8,,0,,0,,,3062239,,,AB,,,13.2,10,20,,M,,9.9,2010,,3062239.2010.10.20,,,,0,,EDSON,-0.3,0,M,2010-10-20 00:00:00
-116.465,53.57888888888889,,6.9,,0,,0,,,3062239,,,AB,,,11.1,10,21,,M,,17.2,2010,,3062239.2010.10.21,,,,0,,EDSON,-3.5,0,M,2010-10-21 00:00:00
-116.465,53.57888888888889,,4.1,,0,,0,,,3062239,,,AB,,,13.9,10,22,,M,,5.6,2010,,3062239.2010.10.22,,,,0,,EDSON,2.6,0,M,2010-10-22 00:00:00
-116.465,53.57888888888889,,3.6,,0,,0,,,3062239,,,AB,,,14.4,10,23,,M,,4.4,2010,,3062239.2010.10.23,,,,0,,EDSON,2.7,0,M,2010-10-23 00:00:00
-116.465,53.57888888888889,,1.4,,0,,0,,,3062239,,,AB,,,16.6,10,24,,M,,2.8,2010,,3062239.2010.10.24,,,,0,,EDSON,0,0.6,M,2010-10-24 00:00:00
-116.465,53.57888888888889,,0.2,,0,,0,,,3062239,,,AB,,,17.8,10,25,,M,,1.2,2010,,3062239.2010.10.25,,,,0,,EDSON,-0.8,2,M,2010-10-25 00:00:00
-116.465,53.57888888888889,,-1.3,,0,,0,,,3062239,,,AB,,,19.3,10,26,,M,,-0.4,2010,,3062239.2010.10.26,,,,0,,EDSON,-2.1,0,M,2010-10-26 00:00:00
-116.465,53.57888888888889,,-1.6,,0,,0,,,3062239,,,AB,,,19.6,10,27,,M,,-0.2,2010,,3062239.2010.10.27,,,,0,,EDSON,-2.9,0.3,M,2010-10-27 00:00:00
-116.465,53.57888888888889,,1.9,,0,,0,,,3062239,,,AB,,,16.1,10,30,,M,,11.7,2010,,3062239.2010.10.30,,,,0,,EDSON,-7.9,0,M,2010-10-30 00:00:00
-116.465,53.57888888888889,,3.3,,32,,,,,3062239,M,,AB,,,14.7,10,31,,M,,13.3,2010,,3062239.2010.10.31,,,,0,,EDSON,-6.8,0,M,2010-10-31 00:00:00
-116.465,53.57888888888889,,4.9,,48,,,,,3062239,M,,AB,,,13.1,11,1,,M,,13.4,2010,,3062239.2010.11.1,,,,0,,EDSON,-3.6,1.5,M,2010-11-01 00:00:00
-116.465,53.57888888888889,,4.7,,63,,,,,3062239,M,,AB,,,13.3,11,2,,M,,10.6,2010,,3062239.2010.11.2,,,,0,,EDSON,-1.3,0,M,2010-11-02 00:00:00
-116.465,53.57888888888889,,3.3,,0,,0,,,3062239,,,AB,,,14.7,11,3,,M,,11.5,2010,,3062239.2010.11.3,,,,0,,EDSON,-4.9,0,M,2010-11-03 00:00:00
-116.465,53.57888888888889,,3.3,,0,,0,,,3062239,,,AB,,,14.7,11,4,,M,,12.4,2010,,3062239.2010.11.4,,,,0,,EDSON,-5.8,0,M,2010-11-04 00:00:00
-116.465,53.57888888888889,,1.2,,35,,27,,,3062239,,,AB,,,16.8,11,5,,M,,5.7,2010,,3062239.2010.11.5,,,,0,,EDSON,-3.3,2.8,M,2010-11-05 00:00:00
-116.465,53.57888888888889,,-0.4,,0,,0,,,3062239,,,AB,,,18.4,11,6,,M,,2.9,2010,,3062239.2010.11.6,,,,0,,EDSON,-3.6,0.5,M,2010-11-06 00:00:00
-116.465,53.57888888888889,,0.1,,0,,0,,,3062239,,,AB,,,17.9,11,7,,M,,3.1,2010,,3062239.2010.11.7,,,,0,,EDSON,-3,0,M,2010-11-07 00:00:00
-116.465,53.57888888888889,,-0.7,,0,,0,,,3062239,,,AB,,,18.7,11,8,,M,,5.6,2010,,3062239.2010.11.8,,,,0,,EDSON,-6.9,0,M,2010-11-08 00:00:00
-116.465,53.57888888888889,,-2.8,,0,,0,,,3062239,,,AB,,,20.8,11,9,,M,,4.8,2010,,3062239.2010.11.9,,,,0,,EDSON,-10.3,0,M,2010-11-09 00:00:00
-116.465,53.57888888888889,,-2,,0,,0,,,3062239,,,AB,,,20,11,10,,M,,4.2,2010,,3062239.2010.11.10,,,,0,,EDSON,-8.1,0,M,2010-11-10 00:00:00
-116.465,53.57888888888889,,-6.6,,0,,0,,,3062239,,,AB,,,24.6,11,11,,M,,0.4,2010,,3062239.2010.11.11,,,,0,,EDSON,-13.6,0,M,2010-11-11 00:00:00
-116.465,53.57888888888889,,-0.1,,43,,28,,,3062239,,,AB,,,18.1,11,12,,M,,7.1,2010,,3062239.2010.11.12,,,,0,,EDSON,-7.2,0,M,2010-11-12 00:00:00
-116.465,53.57888888888889,,2.5,,48,,24,,,3062239,,,AB,,,15.5,11,13,,M,,10.1,2010,,3062239.2010.11.13,,,,0,,EDSON,-5.2,0,M,2010-11-13 00:00:00
-116.465,53.57888888888889,,-7.6,,0,,0,,,3062239,,,AB,,,25.6,11,16,,M,,-3.2,2010,,3062239.2010.11.16,,,,0,,EDSON,-11.9,0,M,2010-11-16 00:00:00
-116.465,53.57888888888889,,-12.2,,46,,8,,,3062239,,,AB,,,30.2,11,17,,M,,-11.2,2010,,3062239.2010.11.17,,,,0,,EDSON,-13.1,0,M,2010-11-17 00:00:00
-116.465,53.57888888888889,,-15.2,,35,,7,,,3062239,,,AB,,,33.2,11,18,,M,,-12.9,2010,,3062239.2010.11.18,,,,0,,EDSON,-17.5,0,M,2010-11-18 00:00:00
-116.465,53.57888888888889,,-17.5,,0,,0,,,3062239,,,AB,,,35.5,11,19,,M,,-13.7,2010,,3062239.2010.11.19,,,,0,,EDSON,-21.3,0,M,2010-11-19 00:00:00
-116.465,53.57888888888889,,-18.2,,0,,0,,,3062239,,,AB,,,36.2,11,20,,M,,-14.4,2010,,3062239.2010.11.20,,,,0,,EDSON,-21.9,0,M,2010-11-20 00:00:00
-116.465,53.57888888888889,,-16.7,,0,,0,,,3062239,,,AB,,,34.7,11,21,,M,,-13.9,2010,,3062239.2010.11.21,,,,0,,EDSON,-19.4,0,M,2010-11-21 00:00:00
-116.465,53.57888888888889,,-23,,0,,0,,,3062239,,,AB,,,41,11,22,,M,,-15.6,2010,,3062239.2010.11.22,,,,0,,EDSON,-30.4,0,M,2010-11-22 00:00:00
-116.465,53.57888888888889,,-24.6,,0,,0,,,3062239,,,AB,,,42.6,11,23,,M,,-16.4,2010,,3062239.2010.11.23,,,,0,,EDSON,-32.7,0,M,2010-11-23 00:00:00
-116.465,53.57888888888889,,-18.9,,0,,0,,,3062239,,,AB,,,36.9,11,24,,M,,-8.8,2010,,3062239.2010.11.24,,,,0,,EDSON,-28.9,0,M,2010-11-24 00:00:00
-116.465,53.57888888888889,,-3.4,,35,,26,,,3062239,,,AB,,,21.4,11,25,,M,,2.4,2010,,3062239.2010.11.25,,,,0,,EDSON,-9.1,0,M,2010-11-25 00:00:00
-116.465,53.57888888888889,,-1.1,,39,,26,,,3062239,,,AB,,,19.1,11,26,,M,,5,2010,,3062239.2010.11.26,,,,0,,EDSON,-7.2,0.5,M,2010-11-26 00:00:00
-116.465,53.57888888888889,,-7.7,,0,,0,,,3062239,,,AB,,,25.7,11,27,,M,,-1.2,2010,,3062239.2010.11.27,,,,0,,EDSON,-14.1,0,M,2010-11-27 00:00:00
-116.465,53.57888888888889,,-6.4,,0,,0,,,3062239,,,AB,,,24.4,11,28,,M,,-1.6,2010,,3062239.2010.11.28,,,,0,,EDSON,-11.1,0,M,2010-11-28 00:00:00
-116.465,53.57888888888889,,-12,,0,,0,,,3062239,,,AB,,,30,11,29,,M,,-6.4,2010,,3062239.2010.11.29,,,,0,,EDSON,-17.5,0,M,2010-11-29 00:00:00
-116.465,53.57888888888889,,-10.6,,0,,0,,,3062239,,,AB,,,28.6,11,30,,M,,-7,2010,,3062239.2010.11.30,,,,0,,EDSON,-14.1,0,M,2010-11-30 00:00:00
-116.465,53.57888888888889,,-4.7,,0,,0,,,3062239,,,AB,,,22.7,12,1,,M,,1.6,2010,,3062239.2010.12.1,,,,0,,EDSON,-10.9,0,M,2010-12-01 00:00:00
-116.465,53.57888888888889,,,,0,M,0,,M,3062239,,,AB,,M,,12,2,,M,,,2010,,3062239.2010.12.2,M,,,,E,EDSON,-13.3,0,M,2010-12-02 00:00:00
-116.465,53.57888888888889,,-12.8,,0,,0,,,3062239,,,AB,,,30.8,12,3,,M,,-7.8,2010,,3062239.2010.12.3,,,,0,,EDSON,-17.7,0,M,2010-12-03 00:00:00
-116.465,53.57888888888889,,-13.7,,0,,0,,,3062239,,,AB,,,31.7,12,4,,M,,-5.6,2010,,3062239.2010.12.4,,,,0,,EDSON,-21.7,0,M,2010-12-04 00:00:00
-116.465,53.57888888888889,,-12,,0,,0,,,3062239,,,AB,,,30,12,5,,M,,-5.2,2010,,3062239.2010.12.5,,,,0,,EDSON,-18.7,0,M,2010-12-05 00:00:00
-116.465,53.57888888888889,M,,M,,M,,,M,3062239,M,,AB,,M,,12,6,,M,,,2010,,3062239.2010.12.6,M,,,,E,EDSON,-21.9,,,2010-12-06 00:00:00
-116.465,53.57888888888889,,,M,0,M,0,,M,3062239,,,AB,,M,,12,7,,M,,,2010,,3062239.2010.12.7,M,,,,M,EDSON,,,M,2010-12-07 00:00:00
-116.465,53.57888888888889,,-8.5,,0,,0,,,3062239,,,AB,,,26.5,12,8,,M,,-6.3,2010,,3062239.2010.12.8,,,,0,,EDSON,-10.6,0,M,2010-12-08 00:00:00
-116.465,53.57888888888889,,-13.3,,0,,0,,,3062239,,,AB,,,31.3,12,9,,M,,-9.1,2010,,3062239.2010.12.9,,,,0,,EDSON,-17.5,0,M,2010-12-09 00:00:00
-116.465,53.57888888888889,,-15.6,,0,,0,,,3062239,,,AB,,,33.6,12,10,,M,,-13.8,2010,,3062239.2010.12.10,,,,0,,EDSON,-17.4,0,M,2010-12-10 00:00:00
-116.465,53.57888888888889,,-16,,0,,0,,,3062239,,,AB,,,34,12,11,,M,,-12.9,2010,,3062239.2010.12.11,,,,0,,EDSON,-19.1,0,M,2010-12-11 00:00:00
-116.465,53.57888888888889,,-16.6,,0,,0,,,3062239,,,AB,,,34.6,12,12,,M,,-13.6,2010,,3062239.2010.12.12,,,,0,,EDSON,-19.6,0,M,2010-12-12 00:00:00
-116.465,53.57888888888889,,-9.4,,0,,0,,,3062239,,,AB,,,27.4,12,13,,M,,-0.2,2010,,3062239.2010.12.13,,,,0,,EDSON,-18.6,0,M,2010-12-13 00:00:00
-116.465,53.57888888888889,,-10,,33,,24,,,3062239,,,AB,,,28,12,14,,M,,-5.4,2010,,3062239.2010.12.14,,,,0,,EDSON,-14.6,0,M,2010-12-14 00:00:00
-116.465,53.57888888888889,,-9.1,,41,,30,,,3062239,,,AB,,,27.1,12,15,,M,,-3.3,2010,,3062239.2010.12.15,,,,0,,EDSON,-14.9,0,M,2010-12-15 00:00:00
-116.465,53.57888888888889,,-16,,0,,0,,,3062239,,,AB,,,34,12,16,,M,,-14.8,2010,,3062239.2010.12.16,,,,0,,EDSON,-17.2,0,M,2010-12-16 00:00:00
-116.465,53.57888888888889,,-14.8,,0,,0,,,3062239,,,AB,,,32.8,12,17,,M,,-12.8,2010,,3062239.2010.12.17,,,,0,,EDSON,-16.7,0,M,2010-12-17 00:00:00
-116.465,53.57888888888889,,-14.1,,0,,0,,,3062239,,,AB,,,32.1,12,19,,M,,-11.4,2010,,3062239.2010.12.19,,,,0,,EDSON,-16.8,0,M,2010-12-19 00:00:00
-116.465,53.57888888888889,,-19,,0,,0,,,3062239,,,AB,,,37,12,20,,M,,-14.1,2010,,3062239.2010.12.20,,,,0,,EDSON,-23.8,0,M,2010-12-20 00:00:00
-116.465,53.57888888888889,,-18.7,,0,,0,,,3062239,,,AB,,,36.7,12,21,,M,,-16.1,2010,,3062239.2010.12.21,,,,0,,EDSON,-21.3,0,M,2010-12-21 00:00:00
-116.465,53.57888888888889,,-20.4,,0,,0,,,3062239,,,AB,,,38.4,12,22,,M,,-17,2010,,3062239.2010.12.22,,,,0,,EDSON,-23.8,0,M,2010-12-22 00:00:00
-116.465,53.57888888888889,,-17,,0,,0,,,3062239,,,AB,,,35,12,23,,M,,-13.1,2010,,3062239.2010.12.23,,,,0,,EDSON,-20.8,0,M,2010-12-23 00:00:00
-116.465,53.57888888888889,,-16.7,,0,,0,,,3062239,,,AB,,,34.7,12,24,,M,,-14.5,2010,,3062239.2010.12.24,,,,0,,EDSON,-18.8,0,M,2010-12-24 00:00:00
-116.465,53.57888888888889,,-8.9,,0,,0,,,3062239,,,AB,,,26.9,12,25,,M,,-2.4,2010,,3062239.2010.12.25,,,,0,,EDSON,-15.3,0,M,2010-12-25 00:00:00
-116.465,53.57888888888889,,-7.6,,0,,0,,,3062239,,,AB,,,25.6,12,26,,M,,-1.6,2010,,3062239.2010.12.26,,,,0,,EDSON,-13.5,0,M,2010-12-26 00:00:00
-116.465,53.57888888888889,,-7.3,,0,,0,,,3062239,,,AB,,,25.3,12,27,,M,,-1,2010,,3062239.2010.12.27,,,,0,,EDSON,-13.5,0,M,2010-12-27 00:00:00
-116.465,53.57888888888889,,-10.3,,0,,0,,,3062239,,,AB,,,28.3,12,28,,M,,-4.5,2010,,3062239.2010.12.28,,,,0,,EDSON,-16.1,0,M,2010-12-28 00:00:00
-116.465,53.57888888888889,,-17.9,,0,,0,,,3062239,,,AB,,,35.9,12,29,,M,,-13.6,2010,,3062239.2010.12.29,,,,0,,EDSON,-22.1,0,M,2010-12-29 00:00:00
-116.465,53.57888888888889,,-20,,0,,0,,,3062239,,,AB,,,38,12,30,,M,,-13.9,2010,,3062239.2010.12.30,,,,0,,EDSON,-26,0,M,2010-12-30 00:00:00
-116.465,53.57888888888889,,-20.3,,0,,0,,,3062239,,,AB,,,38.3,12,31,,M,,-11.2,2010,,3062239.2010.12.31,,,,0,,EDSON,-29.4,0,M,2010-12-31 00:00:00
-116.465,53.57888888888889,,-10.1,,32,,28,,,3062239,,,AB,,,28.1,1,1,,M,,-2,2011,,3062239.2011.1.1,,,,0,,EDSON,-18.1,0,M,2011-01-01 00:00:00
-116.465,53.57888888888889,,-5.4,,43,,31,,,3062239,,,AB,,,23.4,1,2,,M,,-1.3,2011,,3062239.2011.1.2,,,,0,,EDSON,-9.4,0,M,2011-01-02 00:00:00
-116.465,53.57888888888889,,-2.5,,0,,0,,,3062239,,,AB,,,20.5,1,5,,M,,4.5,2011,,3062239.2011.1.5,,,,0,,EDSON,-9.5,0.3,M,2011-01-05 00:00:00
-116.465,53.57888888888889,,,M,0,M,0,,M,3062239,,,AB,,M,,1,7,,M,,,2011,,3062239.2011.1.7,M,,,,E,EDSON,-9.9,,M,2011-01-07 00:00:00
-116.465,53.57888888888889,,-10.1,,48,,32,,,3062239,,,AB,,,28.1,1,8,,M,,-5.3,2011,,3062239.2011.1.8,,,,0,,EDSON,-14.9,0,M,2011-01-08 00:00:00
-116.465,53.57888888888889,,-15.2,,0,,0,,,3062239,,,AB,,,33.2,1,9,,M,,-14.1,2011,,3062239.2011.1.9,,,,0,,EDSON,-16.3,0,M,2011-01-09 00:00:00
-116.465,53.57888888888889,,-19.6,,0,,0,,,3062239,,,AB,,,37.6,1,10,,M,,-14.9,2011,,3062239.2011.1.10,,,,0,,EDSON,-24.3,0,M,2011-01-10 00:00:00
-116.465,53.57888888888889,,-24.1,,0,,0,,,3062239,,,AB,,,42.1,1,11,,M,,-18.7,2011,,3062239.2011.1.11,,,,0,,EDSON,-29.5,0,M,2011-01-11 00:00:00
-116.465,53.57888888888889,,-23.9,,0,,0,,,3062239,,,AB,,,41.9,1,12,,M,,-18.4,2011,,3062239.2011.1.12,,,,0,,EDSON,-29.4,0,M,2011-01-12 00:00:00
-116.465,53.57888888888889,,-22,,0,,0,,,3062239,,,AB,,,40,1,13,,M,,-20.3,2011,,3062239.2011.1.13,,,,0,,EDSON,-23.6,0,M,2011-01-13 00:00:00
-116.465,53.57888888888889,,-22.4,,0,,0,,,3062239,,,AB,,,40.4,1,14,,M,,-21.1,2011,,3062239.2011.1.14,,,,0,,EDSON,-23.7,0,M,2011-01-14 00:00:00
-116.465,53.57888888888889,,-22.2,,0,,0,,,3062239,,,AB,,,40.2,1,15,,M,,-20.6,2011,,3062239.2011.1.15,,,,0,,EDSON,-23.8,0,M,2011-01-15 00:00:00
-116.465,53.57888888888889,,-20.1,,0,,0,,,3062239,,,AB,,,38.1,1,16,,M,,-18.9,2011,,3062239.2011.1.16,,,,0,,EDSON,-21.3,0,M,2011-01-16 00:00:00
-116.465,53.57888888888889,,-18.8,,0,,0,,,3062239,,,AB,,,36.8,1,17,,M,,-15.8,2011,,3062239.2011.1.17,,,,0,,EDSON,-21.8,0,M,2011-01-17 00:00:00
-116.465,53.57888888888889,,-13.4,,0,,0,,,3062239,,,AB,,,31.4,1,18,,M,,-4.7,2011,,3062239.2011.1.18,,,,0,,EDSON,-22,0,M,2011-01-18 00:00:00
-116.465,53.57888888888889,,-11.1,,39,,28,,,3062239,,,AB,,,29.1,1,19,,M,,-4.9,2011,,3062239.2011.1.19,,,,0,,EDSON,-17.3,0,M,2011-01-19 00:00:00
-116.465,53.57888888888889,,-5.4,,48,,26,,,3062239,,,AB,,,23.4,1,20,,M,,2,2011,,3062239.2011.1.20,,,,0,,EDSON,-12.7,0,M,2011-01-20 00:00:00
-116.465,53.57888888888889,,-4.2,,33,,28,,,3062239,,,AB,,,22.2,1,21,,M,,2.6,2011,,3062239.2011.1.21,,,,0,,EDSON,-10.9,0.3,M,2011-01-21 00:00:00
-116.465,53.57888888888889,,-3.1,,44,,28,,,3062239,,,AB,,,21.1,1,22,,M,,6.5,2011,,3062239.2011.1.22,,,,0,,EDSON,-12.7,0.5,M,2011-01-22 00:00:00
-116.465,53.57888888888889,,-1.6,,65,,28,,,3062239,,,AB,,,19.6,1,23,,M,,5.8,2011,,3062239.2011.1.23,,,,0,,EDSON,-8.9,1.1,M,2011-01-23 00:00:00
-116.465,53.57888888888889,,-1.1,,0,,0,,,3062239,,,AB,,,19.1,1,24,,M,,6.7,2011,,3062239.2011.1.24,,,,0,,EDSON,-8.8,1.5,M,2011-01-24 00:00:00
-116.465,53.57888888888889,,0.7,,43,,26,,,3062239,,,AB,,,17.3,1,25,,M,,8.5,2011,,3062239.2011.1.25,,,,0,,EDSON,-7.1,4.1,M,2011-01-25 00:00:00
-116.465,53.57888888888889,,3.5,,43,,26,,,3062239,,,AB,,,14.5,1,26,,M,,9.9,2011,,3062239.2011.1.26,,,,0,,EDSON,-3,3.6,M,2011-01-26 00:00:00
-116.465,53.57888888888889,,3.7,,83,,32,,,3062239,,,AB,,,14.3,1,27,,M,,10.7,2011,,3062239.2011.1.27,,,,0,,EDSON,-3.4,0,M,2011-01-27 00:00:00
-116.465,53.57888888888889,,-4.5,,80,,32,,,3062239,,,AB,,,22.5,1,28,,M,,1.8,2011,,3062239.2011.1.28,,,,0,,EDSON,-10.8,0,M,2011-01-28 00:00:00
-116.465,53.57888888888889,,-13.9,,0,,0,,,3062239,,,AB,,,31.9,1,29,,M,,-10.7,2011,,3062239.2011.1.29,,,,0,,EDSON,-17,0,M,2011-01-29 00:00:00
-116.465,53.57888888888889,,-21.8,,0,,0,,,3062239,,,AB,,,39.8,1,30,,M,,-15.7,2011,,3062239.2011.1.30,,,,0,,EDSON,-27.9,0,M,2011-01-30 00:00:00
-116.465,53.57888888888889,,-24.9,,0,,0,,,3062239,,,AB,,,42.9,1,31,,M,,-16,2011,,3062239.2011.1.31,,,,0,,EDSON,-33.8,0,M,2011-01-31 00:00:00
-116.465,53.57888888888889,,1.5,,32,,36,,,3062239,,,AB,,,16.5,2,3,,M,,7.9,2011,,3062239.2011.2.3,,,,0,,EDSON,-4.9,2.8,M,2011-02-03 00:00:00
-116.465,53.57888888888889,,3.8,,61,,30,,,3062239,,,AB,,,14.2,2,4,,M,,7.8,2011,,3062239.2011.2.4,,,,0,,EDSON,-0.3,0,M,2011-02-04 00:00:00
-116.465,53.57888888888889,,-3.6,,50,,30,,,3062239,,,AB,,,21.6,2,5,,M,,3.1,2011,,3062239.2011.2.5,,,,0,,EDSON,-10.2,0,M,2011-02-05 00:00:00
-116.465,53.57888888888889,,-11.1,,33,,6,,,3062239,,,AB,,,29.1,2,6,,M,,-8.9,2011,,3062239.2011.2.6,,,,0,,EDSON,-13.3,0,M,2011-02-06 00:00:00
